mode,64,256,1024,2048,4096
tcp,20.44,20.87,21.36,23.96,24.65
ktls-sw,23.75,24.28,24.86,26.79,33.33
homa,16.95,16.78,17.5,22.81,24.38
smt-sw,19,19.18,20.52,26.91,29.67
smt-sw-nocrypto,16.94,17.03,17.73,23.38,24.74
